Drug Bank ID,inRepurposeDB,Type,Approved,Human Intestinal Absorption,Blood Brain Barrier,Caco-2 permeable,P-glycoprotein substrate,P-glycoprotein inhibitor I,P-glycoprotein inhibitor II,Renal organic cation transporter,CYP450 2C9 substrate,CYP450 2D6 substrate,CYP450 3A4 substrate,CYP450 1A2 substrate,CYP450 2C19 substrate,CYP450 inhibitory promiscuity,Ames test,Carcinogenicity,Biodegradation,hERG inhibition (predictor I),hERG inhibition (predictor II)
5479530,Y,Small Molecule,Y,-,-,-,Substrate,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5479537,N,Small Molecule,Y,-,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5481173,N,Small Molecule,Y,-,-,-,Substrate,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5484727,N,Small Molecule,Y,+,-,-,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5486971,N,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Ready biodegradable,Weak inhibitor,Non-inhibitor
5487301,N,Small Molecule,N,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5493381,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5493444,N,Biotech,Y,,,,,,,,,,,,,,,,,,
5742673,N,Small Molecule,Y,-,-,-,Substrate,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
6323490,Y,Small Molecule,Y,+,-,-,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
6335986,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
6436173,N,Small Molecule,Y,-,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
6451164,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
6915944,N,Small Molecule,Y,-,-,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
6917715,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
6918140,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
6918204,N,Small Molecule,Y,-,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
6918296,N,Small Molecule,Y,+,+,-,Substrate,Inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
6918365,N,Small Molecule,Y,+,+,-,Substrate,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
6918456,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
6918493,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
6918537,N,Small Molecule,Y,+,+,-,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
6918554,N,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
6918558,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
6918670,N,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
9552079,Y,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
9571107,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
9690109,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
9854073,N,Small Molecule,Y,+,-,-,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
9854489,N,Small Molecule,Y,+,+,-,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
9865528,N,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
9868491,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
9869929,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
9871419,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
9875401,N,Small Molecule,N,+,+,+,Non-substrate,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
9926791,N,Small Molecule,N,+,+,+,Substrate,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
10096344,N,Small Molecule,Y,+,+,-,Substrate,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
10113978,Y,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
10182969,N,Small Molecule,Y,+,+,-,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
10184653,N,Small Molecule,Y,+,+,-,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
10220503,N,Small Molecule,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10324367,N,Small Molecule,Y,+,-,-,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Ready biodegradable,Weak inhibitor,Non-inhibitor
10482134,Y,Small Molecule,Y,+,+,+,Non-substrate,Inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Ready biodegradable,Weak inhibitor,Non-inhibitor
11167602,N,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
11238823,N,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
11243969,N,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
11304743,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
11450633,N,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
11499245,N,Small Molecule,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
11556711,N,Small Molecule,Y,+,-,-,Substrate,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
11561674,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
11626560,Y,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Strong inhibitor,Inhibitor
11707110,N,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
11949646,N,Small Molecule,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
15951529,N,Small Molecule,Y,+,+,+,Non-substrate,Inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
16004692,N,Small Molecule,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
16129704,N,Small Molecule,N,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
16220172,N,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
23652731,N,Small Molecule,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
24776445,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
24812758,N,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
24821094,N,Small Molecule,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
24826799,N,Small Molecule,Y,+,+,-,Substrate,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
24965990,N,Small Molecule,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
25074470,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
25077649,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
25151504,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
42611257,N,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
44462760,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
54671203,Y,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
54686904,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
